airline_sentiment,text
positive,@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry
negative,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff"
negative,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.
positive,@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!
positive,"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!"
positive,@VirginAmerica happy to spend the day together. Let's do this!
neutral,@VirginAmerica is saving my sanity right now: http://t.co/ELtBOLjUl9
neutral,@VirginAmerica missed my flight. How does standby work?
positive,.@VirginAmerica They were very understanding and helped me out.Thx! #Comps
neutral,@VirginAmerica brought it all the way across the country today I see http://t.co/TKaUyGcPmS
positive,@VirginAmerica thank you! I absolutely will 😎
negative,@virginamerica Looks like a broken link for your assets https://t.co/OArDjjGrrD
neutral,@VirginAmerica are you ready!? Let's say it together.. 'Noooo turbulence today!' 😘
negative,@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg
negative,"@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW"
neutral,@VirginAmerica can u help this 👸 @FreyaBevan_Fund needs urgent treatment in🇺🇸2y old battling cancer could u help with flights 💗#freyasfund
neutral,@virginamerica may start service to Hawaii from #SanFrancisco this year http://t.co/yPo7nYpRZl #biztravel
negative,@virginAmerica Other carriers are less than half price for a round trip fare. I am stunned. http://t.co/UKdjjijroW
negative,@VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?
neutral,@VirginAmerica add DTW and I'm sold!
positive,@VirginAmerica How about some free drinks on the flight back for the free promo?
positive,@VirginAmerica @SSal thanks!
neutral,@VirginAmerica momma I made it! 😁😁😁
neutral,@VirginAmerica please contact me about portfolio left on flight VX 27 from JFK to SFO tonite seat 7AM. Need it returned. Call 914-329-0185.
neutral,@VirginAmerica help. I was OnFlight27 from JKF tonight. seat 7C left portfolio. Need it back!!
neutral,@VirginAmerica @shrinerack Seattle bound. Wifey got me the duffle for vday. She's a keeper!!! Holla!!! http://t.co/JlOIbLnair
negative,"@VirginAmerica my luggage is gone. I've filed my paperwork, promised a call/email. Still no resolution or response from central luggage."
neutral,@VirginAmerica Debbie Baldwin gave a #rockstar performance of the safety demo this evening on VX919 #LAS2SFO #BestCrew #SheRocks
positive,@VirginAmerica Thanks!
positive,@VirginAmerica thanks for taking care of @SuuperG on her flight!! #rockstars #travel
positive,@VirginAmerica Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef
negative,@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?
negative,"@VirginAmerica Just trying to book tickets to NYC and facing super fun broken styling. Don't worry, I'll keep trying :)"
neutral,"@VirginAmerica Nice, Lofty View @flyLAXairport. #SilverStatus http://t.co/F4Tp0dAwbd"
negative,@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly 😥
neutral,@VirginAmerica is my new go to airline
positive,"@VirginAmerica I adore you, and am so looking forward to my flight to Austin in two weeks."
positive,@VirginAmerica I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.
neutral,@VirginAmerica Flight Booking Problems flight to uphold my status match.Do taxes on ticket count as earned status points?#statusmatch #virginamerica
negative,@VirginAmerica trying to check-in...but looks like your site is down?
negative,"@VirginAmerica spending my birthday night with you, DAL-DCA. Get me home!"
negative,@VirginAmerica Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.
positive,"@VirginAmerica first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!"
negative,"@VirginAmerica seriously, though. will there not be direct flights from SFO-FLL in may???"
negative,@VirginAmerica It's fine. Already done with my purchase. But you should try it. Just go most of the way through then go back 3
negative,"@virginamerica not really the experience I was hoping 4, I ws forced 2 check in a small carry on, w/ nothing but empty cabin space on board"
neutral,@VirginAmerica to jump into the #Dallas #Austin market http://t.co/SzR0pioA21
negative,"@VirginAmerica I spoke with a representative that offered no solution, I am a loyal customer who flies on @VirginAtlantic as well"
negative,@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email
negative,"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome"
neutral,@virginamerica.. Can you help? Left my blazer in. Kooples jacket bag at 3rd row second seat from right gate 36 T3 lax.. Flight to sfo
neutral,@VirginAmerica partners with @Visa Checkout as mobile payment method to help boost mobile conversion rates #etailwest #payments #visa
positive,"@VirginAmerica just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf"
positive,"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!"
neutral,@VirginAmerica i would like help with some flights please.
neutral,Bruh “@VirginAmerica: @giannilee Turn down for what. #VXSafetyDance”
positive,@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!
positive,@VirginAmerica ok! first time flying with you tonight :)
neutral,@virginamerica Digging the swanky pink mood lighting during the flight from NYC to SFO.Just needs a cabaret singer.Think about it!
neutral,"@VirginAmerica Done, but I need the receipt ASAP. Could you please help? #150219-000114"
negative,@VirginAmerica on VX399 from JFK to LA - dirty plane - not up to your standards.
negative,@VirginAmerica on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.
positive,@VirginAmerica got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. 😉
negative,@VirginAmerica your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone.This sucks!
negative,@VirginAmerica delayed to10.30!!
negative,@VirginAmerica currently in minute 10 of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?
positive,“@VirginAmerica: @KarinSLee Of course. Have fun celebrating!” Thanks! Happy Chinese New Year!
positive,@VirginAmericaFlight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys
negative,@VirginAmerica Comenity Bank is a joke!Please change.Nothing but constant problems with this bank
neutral,"@VirginAmerica I just did, how can I DM? Do u have to also add me?"
positive,"@VirginAmerica For my Grandma Ella's 80th, she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines."
positive,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER
neutral,"@VirginAmerica Anytime, sugafly."
positive,@VirginAmerica gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!
neutral,@VirginAmerica I need a receipt for a flight change. Can you send one?
negative,"@VirginAmerica, I submitted a status match request a while back and still haven’t heard! I’m flying on Monday. Can you look / accelerate?"
positive,@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9mLOVED my first cross country flight. #livewelltraveled #sytycd
positive,@VirginAmerica that doesn't look to fat to me! It looks yummy!
neutral,@VirginAmerica a brilliant brisk am in Boston in cue for vx363 http://t.co/rMZNIVGmg6
neutral,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/FVUdmh27pF @TheNationalUAE
neutral,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/DCoBoKN7EE @TheNationalUAE
neutral,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/vw4P4T4tLh @TheNationalUAE
positive,@VirginAmerica omg omg😍😍 nonstop Dallas to Austin on virgin✨😱✈️
positive,@VirginAmerica Your planes are really pretty. Just thought u should know that. :)
neutral,@VirginAmerica when are you flying to hawaii
negative,@VirginAmerica I'm pulling my hair out trying to book a flight with u. Your site doesn't work on iPhone or iPad.don't have a computer #help
positive,@VirginAmerica thank you
negative,@VirginAmerica Can I get some help with a support ticket? It's been 15 days.... Incident: 150202-000419 Thank you!
positive,@VirginAmerica good to be home #texas #moodlighting http://t.co/N3BVZTY3zI
negative,@VirginAmerica I cannot even open my laptop in seat 4C and I paid a premium for this?!!Let me out of here!
negative,@VirginAmerica I am in seat 4C and I cannot even open my laptop; and I paid extra for this seat!!
neutral,.@VirginAmerica If only you guys were starting those flights at the end of the month! Guess I’m still road tripping on Feb 27…
positive,"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!"
neutral,@VirginAmerica Really? Sprint? I thought you guys were 'kewl'! 0_0
positive,@VirginAmerica this is too cool!Never been on ur planes but now I will!!
neutral,@VirginAmerica you should have 39 dollar LAX-Las fares!!!
positive,@VirginAmerica great. Well deserved.
negative,@VirginAmerica FYI the info@virginamerica.com email address you say to contact in password reset emails doesn't exist. Emails bounce.
negative,@VirginAmerica Status match - 2 weeks have gone by and no news.Flt next week - hope flt will count towards requirement.Cust Svc no help!!!
negative,@VirginAmerica your website sucks donkey dicks. Just thought you should know. All best.
neutral,@VirginAmerica You should still develop an app - then you will be my favorite airline.
negative,@VirginAmerica all crap channels which is why I pay to watch UK tv
positive,@VirginAmerica got it. All set - Thanks!
neutral,@VirginAmerica no A's channel this year?
neutral,@VirginAmerica Only thing I see on passbook is Virgin Mobile Mexico. How do I integrate?
positive,@VirginAmerica Giants and Virgin America. A match made in heaven.
positive,"@VirginAmerica thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!"
negative,@VirginAmerica how come you don't have an iPhone app? Still using and making me waste paper.
negative,@VirginAmerica Your back of seat entertainment system does not accept credit cards thathave an apostrophe in the surname. #apostrophefail
negative,@VirginAmerica When will VX use all 6 LGA slots instead of 4 today? Adding AUS makes this less likely :(
neutral,@VirginAmerica is helping me step up my @Tinder game! #TinderTips #tinderchamp http://t.co/jBmVVha63A
positive,@VirginAmerica I luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? I'm not a caffeine drinker
positive,@VirginAmerica thank you! See y'all soon! I'm excited to see the expansion of destinations. Spread those wings!
neutral,"@VirginAmerica announces new nonstop connecting @AUStinAirport &amp; @DallasLoveField, $39 intro: http://t.co/qXnOaQtYN8 http://t.co/JK7qmdfqgf"
neutral,@VirginAmerica adds Austin-Dallas Love Field route. http://t.co/XWJoL55FLH http://t.co/Y8AOrMfkaC
negative,@VirginAmerica sad to learn you no longer fly SFO &gt; PHL. Hope it returns!
neutral,"@VirginAmerica - can you tweet me the Cancelled Flight/chng fee for a flight? or can I rebook under one of your affiliates? If so, who are afiliates?"
positive,@VirginAmerica has the most INCREDIBLE customer service I've ever experienced! So refreshing!
neutral,"@VirginAmerica Now, when will we see VirginAmerica come to Philadelphia (PHL)."
positive,"@VirginAmerica , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?"
positive,@VirginAmerica OMG FINALLY
neutral,@VirginAmerica to start 5xweekly #A319 flights from to #Dallas @DallasLoveField #Austin on 28APR #avgeek
neutral,@VirginAmerica Nice to see you expanding in Texas but don't forget about us here in #SanDiego. I would love to see more flights out of here!
negative,@VirginAmerica kinda sucked my earphone jack didn't work on my flight. They may want to look into that for future passengers
negative,@VirginAmerica Very poor experience. First computer problem now seat malfunction. Stuck. Missing meeting in San Diego.
positive,@VirginAmerica #thankyou the DAL-AUS route makes my day!!!!
positive,@virginamerica awesome deals DAL-AUS for only $39 each way! https://t.co/xCVQXYkg49
neutral,@VirginAmerica I miss the #nerdbird in San Jose
positive,"@VirginAmerica love it, taking @SouthwestAir on in their backyard! Consumers win when biz competes."
positive,@VirginAmerica ​ is flying from Love to Austin now. That is most excellent news.
neutral,@VirginAmerica can we make every VX plane with #nerdbird? Why should Austin be the only one getting nerd love?
neutral,@VirginAmerica please add more frequency to PDX Portland
positive,@VirginAmerica Congrats VX on the new route! ✈️🎉
negative,"@VirginAmerica I tried that. You offered to charge me an additional $1k for a new ticket or be stranded until Thurs. 1st time, last time."
neutral,@VirginAmerica @AmericanAir can u help with flights to get a 2y old battling cancer who needs treatment in 🇺🇸 @FreyaBevan_Fund 💗 🎀 💗
negative,"@VirginAmerica Never had a bad experience before, but this one took the cake. Now extortion for carry on items as well?"
negative,@VirginAmerica Had to spend 5 hours worrying that items in carryon would be broken/stolen since I couldn't carry them on plane or lock bag.
negative,"@VirginAmerica All of group E was told there was no more room in the bins. when I got on the plane, was room for at least 4 bags in my row!"
negative,@VirginAmerica Thanks for making my flight from LAX to JFK a nightmare by forcing me to check my carry on bag at the gate. (1)
negative,@VirginAmerica I have lots of flights to book and your site it not working!!!! I've been on the phone waiting for over 10 minutes..........
positive,@VirginAmerica I am all about the in flight artisanal cheese and wine pairing.
neutral,@VirginAmerica does Virgin America fly direct from Seattle to NYC or Boston?
positive,@VirginAmerica That's classy.
positive,@VirginAmerica I'm sure a lot of your 747 and 777 JFK-LHR flights go a lot faster than 513mph with a strong tailwind.
positive,@VirginAmerica now it's just t-minus 32 minutes until my Elevate a Silver upgrade window opens . #FreeNeverSucks 😃👍
neutral,@VirginAmerica save some for 871 tomorrow AM!
negative,@VirginAmerica Why is it taking 12 years to fly home to Dallas? Get your shit together.
neutral,@VirginAmerica @JezzieGoldz club Virgin is bumping in New York http://t.co/HaQc7GDg7c
positive,@VirginAmerica @JezzieGoldz would have been a rough trip but LUCKILY we were on a #virginamerica flight. #weather
neutral,@VirginAmerica is that #thestarter??😁
neutral,@VirginAmerica ...Please come to Minneapolis St. Paul!
neutral,@VirginAmerica YES FYIMY BFF
positive,"@VirginAmerica another perfect flight.How come on your planes,the sun visors can stay down?Other carriers make you raise them?"
positive,"Nice RT @VirginAmerica: The man of steel might be faster, but we have WiFi – just saying. #ScienceBehindTheExperience http://t.co/FGRbpAZSiX"
positive,@VirginAmerica I love the dancing little richard. cool beans.
positive,@VirginAmerica I don’t use Passbook =/ I still love you though &lt;3 :) I’ll just use my email in the future.
positive,@VirginAmerica thanks for the free birthday points! y'all are ALL RIGHT with me!
neutral,@VirginAmerica do you have an application for iOS? Was looking and only saw Virgin Mexico :( &lt;/3
negative,@VirginAmerica Man of steel flies to more cities though...and with more frequency too.
positive,@VirginAmerica thanks so much for sharing. Just added it to my site http://t.co/TsviBTvT8h
neutral,@VirginAmerica Good point!
neutral,.@VirginAmerica I heard he has a virgin mobile hotspot ;)
neutral,@VirginAmerica you got cheese pLate Flights too.
neutral,@VirginAmerica On all your flights?
positive,@VirginAmerica Dad on Segway is the best part of this whole infographic!
positive,@VirginAmerica Are there any plans for a short haul airline in Europe? Would defiantly fly with you guys :)
positive,@VirginAmerica wifi AND better seating.
neutral,@VirginAmerica how come ABC is the only one of the network channels you don't have?
negative,@VirginAmerica started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me.
positive,".@VirginAmerica not only was it great, but you return my calls the day after. Couldn't ask for more. #myVXexperience"
negative,"@VirginAmerica While other airlines weren't Cancelled Flighting flights into BOS, and helping their customers get home, Virgin was saying Good luck!"
neutral,"@VirginAmerica Dear Virgin customer, while you're stranded in SF for 3 days &amp; $1000cost- we'll do the very least we can to accommodate you!"
neutral,@VirginAmerica should use this in their next airline commercial lol :: http://t.co/pXEXIlSjBs
negative,@VirginAmerica Grouping Virgin in with the others now. BOS weather has exposed their actual Cus Serv model. Never Flight Booking Problems with Virgin again!
negative,"@VirginAmerica As one of the travelers affected by the Boston storm, I'm shocked at Virgin's complete apathy toward their customers."
negative,@VirginAmerica Umm so no reason as to why this is? Is there someone different I should contact (or contact me) to get a definitive answer?
negative,@virginamerica Trying to make the change in advance (not just 24 hours prior)…tried it online earlier and it wanted $300 in change fees.
positive,"@VirginAmerica so loyal that I'm driving to #NYC from #PA, to fly Virgin,since you cut #Philly flights ;)"
neutral,@virginamerica Any way to change from Main Cabin to Main Cabin Select (on same flight) without paying a change fee penalty?
positive,@VirginAmerica you guys are perfect as always! &lt;3 #WeRVirgin
positive,@VirginAmerica thanks! Y'all have some of the best customer service left in the industry.
neutral,@VirginAmerica Can you give me Silver Status for 12 months?
positive,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings
negative,"@VirginAmerica mood lighting on point🙌 Reclining my seat, kickin up my feet💤"
negative,@VirginAmerica my flight (6000) scheduled for 1pm departure still says on time but no plane at gate. Any update on how long of a delay?
negative,@VirginAmerica my group got their Cancelled Flightlation fees waived but I can't because my ticket is booked for 2/18? Your reps were no help either 😡
neutral,@VirginAmerica Are there any sign up bonuses to enroll in Elevate?
positive,@VirginAmerica just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome
neutral,@VirginAmerica morning. If I have a question regarding elevate points &amp; flights can I DM you?
neutral,@VirginAmerica still waiting to see@Starryeyes_Dev_😞
neutral,@VirginAmerica was wondering if you guys recieved my dm and we're able to potentially respond asap
positive,@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.
neutral,“@VirginAmerica: Book out of town with fares from $59/way (+restr). http://t.co/xRdTOV7nl8 http://t.co/4Y78byAckc” @JenniferDawnPro
positive,@united thanks
positive,@united Thanks for taking care of that MR!! Happy customer.
negative,@united still no refund or word via DM. Please resolve this issue as your Cancelled Flightled flight was useless to my assistant's trip.
negative,@united Delayed due to lack of crew and now delayed again because there's a long line for deicing... Still need to improve service #united
positive,@united thanks -- we filled it out. How's our luck with this? Is it common?
negative,@united Your ERI-ORD express connections are hugely popular .. now if only we could have an ERI-EWR hop! :)
neutral,@united even on international flight Glasgow to the U.S.? Then what about orlando to Newark? All 90 mins?
negative,@united you think you boarded flight AU1066 too early? I think so.
neutral,"@united I understand, but it's tough when there is no way to get to the airport w/o serious risk of an accident. It's a steep price."
negative,"@united Gate agent hooked me up with alternate flights. If you have a way to PREVENT the constant issues, that would rock."
neutral,@united flying gla-mco in a few weeks. How long do we have to be at airport for before departure for both international and domestic? Ta
positive,@united thanks
positive,@united Thanks. It is on the same ticket.
neutral,@united why not? Is it a law or a policy?
negative,@united is the worst. Nonrefundable First class tickets? Oh because when you select Global/FC their system auto selects economy w/upgrade.
negative,@united @CheerTymeDad So I can buy tix 3 days before flight but can't transfer the tix.Flawed security logic. Flawed customer service
negative,"@united I did start a claim but 8-10 weeks is unrealistic, am I really supposed to go that long with out a car seat for my child.Ridiculous!"
positive,@united follow me please this airline is beautifull ♥
neutral,"@united no I don't, but I'm sure United have my info on its system."
negative,"@united if the car seat is lost @united should just reimburse me for a new one, this is not a pair of shoes, it's a necessity for my child"
neutral,@united Just submitted my response on the link you sent.
neutral,"@united yes, David Allan send an email with this number (KMM24999563V99860L0KM) and case#8719519"
negative,@united @highbuddyyy that totally sucks my cousin worked at PHL said @united
positive,@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated
neutral,"@united yes, a paper voucher that I got on January 26th 2015"
negative,@united beginning of Feb I called United they said they would send another voucher by mail. Never got anything. #tiredofwaiting
negative,"@United the internet is a great thing.I am emailing executives in your company, maybe they will respond to me in a timely manner."
neutral,"@united Do I need to use a Chase United Club pass for my 8yr old son, or can he come in with me on my pass?"
neutral,@united and what am I suppose to do with that number?
negative,@united I flew back w other company since United didnt have an earlier flight
neutral,@united I lost a voucher that I was given in Miami aeroport on jan 26. I did not use it.
negative,@united I am trying to book awards for September and need flights on @aegeanairlines but they will not show even w/ many award seats availab
negative,@united I sure did.I had to drive a total of 3 hours to get my own bag.I'd like to explain that debacle but no one wants to talk to me.
neutral,@united @CheerTymeDad Gee that's like almost caring about ppl more than $$.Think I'm more int in having a trusted adult w/ daughter .
negative,"@united See? We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr.After we boarded, there was a defibrillator issue."
negative,@united why no preferred security line anymore. My TSA pre-check didn't pull on my @SilverAirways partner flight! #Platinum #spoiled
negative,@united #Newarkliberty Airport need to indicate different gate#'s for terminals A&amp;C. #Flyingainteasy
negative,"@united yes please! I am newly married and trying to update my last name on a preexisting international flight! It seems so easy, but..."
negative,@united How does United refuse to reissue a $400 lost voucher when their plane didn't take off due to mechanics? #badcustomerservice
negative,"@united also during the run I was instructed to do, I shattered my computer. http://t.co/oAflfr7WXB"
negative,"@united yes, we've been with the agents for the last 50 minutes. One of the agents have been very rude, but thankfully Ladan has been nice."
neutral,@united that's right- with an overnight Miami.
neutral,@united Have clients with an 11 hr layover at IAH (during the day). Will they have to claim &amp; recheck luggage. Or will it be taken care of?
neutral,"@united I am trying to find out if the loaner seat is new or used, a used car seat is illegal according to safety regulations"
neutral,@united i DMed you the details
negative,"@united iah to charlotte. Baggage claim rep latrice h. #customerservice non existent, Ignored customer then inappropriately touched customer"
neutral,"@united Kewl. Will also let them know the overhead bin over my row was ""Inop"". I love a good abbreve."
positive,"@united - thanks for your help...got me what I need, but its an issue with @_austrian . I guess I sit awhile longer."
negative,@united @UCtraveladvisor - I would have loved to respond to your website until I saw the really long form. In business the new seats are bad
negative,@united A refund and flight vouchers or another flight on a different airline at your expense for today. 8 hour drive is very inconvenient
negative,@united then why have I not received my call back its been 3 days...it's an infant car seat how am I supposed to go anywhere with my child
neutral,@united thanks again for your concern. I will contact customer care upon our return from Australia.
negative,@United well sitting on the ground 'on time' but waiting for a gate....again #tiredofthis
negative,"@united No, I need you guys to not over book planes. It's not a concern, I'll just travel with someone else moving forward."
negative,@united A measly $50 e-certificate is not how you appreciate loyal customers after they wait 3hrs on the tarmac during UA1116. #unacceptable
negative,@united When will email address/username sign-on be available? It's been a while.
positive,@united Thank you for that. Am I able to claim any interim expenses or is the cost of the stuff up on me?
negative,@united rude rude
negative,@united - Why can't I get a boarding pass for my Austrian Airlines codeshare flight. Rebook incls a 6 hour layover &amp; I am stuck outside sec
negative,@united. ..I received on other flights. #unitedtruly breaks guitars. #unitedbreaksguitars #wantmymoneyback
negative,@united just flew to #TelAviv paid $100 from a third suitcase which didn't even make it on the plane! Besides for the impolite service...
negative,@UnitedMy bag is still in Colo Springs. I am disabled and have to search an unfamiliar airport and look for my bag. Not a good outcome
negative,@united Shame that there's no flex to tickets transfer rules.Even calling from Neurosurgery ICU isn't enough!
negative,@united No. Denver said they don't handle baggage that made it to Colo. Springs.They gave me an 800 number to call. No help there either.
negative,@united you guys need some serious training in customer service. Too many better options to put up with the way you guys handle ur mistakes
neutral,@united 6533 ORD to DCA
negative,"@united once he found out we had a problem he avoided me like the plague. Was told ""we can't find a supervisor."""
negative,@united ZCC82U Cancelled Flight flight 16h in advance??? Need connect flight reschedule so the link isn't helping. Help!? Gf waited months to see me.
negative,@united I will not be flying you again
negative,"@united in addition, my first flight was delayed an hour and I'm arriving at my destination 8 hrs Late Flight."
neutral,"@united Cancelled Flighted our flight, didn't rebook us on added flight, now have to drive from a Denver to KC....thanks!"
neutral,@united your announcement for pre boarding only addresses mobility. My disability requires me to travel with a lot of stuff. Do I preboard?
positive,@united I flew United last month and the experience was AWESOME!
negative,@united our travel booked thru United group dept. Okc ticket agent less than willing to help with our connection in LAX.
negative,"@united v upset with your disability""services"". When I told one of your employees I was carrying medical equipment she was very rude."
negative,@united thnx for quick reply but don't think you can assist. Our intl grp will be put to considerable inconvenience today.
negative,@united wont transfer flight ticket to accompany an 11 yr old who's active military mom had to have emergency brain surgery? WOW!!
negative,@united @getmeontop 7 WEEKS Late FlightR AND I STILL HAVE NOT RECEIVED MY MILES FROM THE MileagePlus Gift Card $150 STARBUCKS CARD I HANDED OVER!!!
negative,"@united as a 1k, I'm always hoping for improvement."
negative,@united not yet. I complained about the guy who checked my luggage in as he was throwing the bags around. Unfortunate coincidence I hope?
negative,@united OKC ticket agent Roger McLarren(sp?) LESS than helpful with our Intl group travel problems Can't find a supervisor for help.
negative,@united mobile apps need construction from the ground up for each OS category.It's expensive to get right .
negative,@united another fail for the United ticket agents in OKC. LESS than helpful and could care less about our problems. American here we come.
positive,"@united 441, which also had 1 working WC in coach. Good thing this bird landed ahead of schedule. I have to use the WC stat."
neutral,@united the os isn't controlled by me but rather @VerizonWireless .App is new.
negative,"@united I just sent an email to Customer Care, telling them I may have to break up with you 😢. I sincerely hope they can help me!!"
negative,@united silly I'm flying delta today. Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk
negative,@united What is your phone number. I can't find who to call about a flight reservation.
negative,"@united well, you can't fix me missing my buddies 30th bday because of negligence but you can attempt to make up for it."
negative,"@united why am I to believe they will help when customer service couldn't? Like I said, I want a number to someone who can fix what you did."
negative,@united they helped me at the baggage service desk.Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12
negative,@united Mobile boarding pass disappeared from phone while standing in line to board. Second time this week... Hmm.
positive,@united for the record- Rozana at Newark was lovely and helpful. #choosekind
neutral,@united It was last night's 1235/ORD-LGA.
positive,@united thx for update
neutral,@united thank you !
neutral,@united dm these nuts
negative,@united Had to explain to a very over eager flight attendant trying to ask about my vision that my @ccicanine was not a guide dog!
negative,@united what's the point of asking for details about a #servicedog when you book if your flight crew doesn't read them? (Continued)
negative,@united I tried but no one was available in bogota and everyone was rude in Houston. I was stuck for 35 hours because of you guys
negative,@united #worst2unitedflightsever UA 236 LAS to IAD 2/24 mechanical problems again - took off - had to land for fix - delayed again #wtfodds!
positive,@united despite my bag not making it to Newark good informative email tracking updates help!
negative,@United. What's going on with UA 236?outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever
negative,@united #worst2unitedflightsever UA1429 IAD to LAS 2/19 mechanical problems - switched aircraft delayed 3.5 hours!
negative,@united crashed trying to check in.
positive,"@united Wow. What a deal. Again, 30+ plus seats available. Easy change to make a customer happy."
neutral,@united thanks for the info I already knew...
neutral,@united Airline trouble this winter &amp; not getting good customer service? contact http://t.co/aQjn4HwNaCwe negotiate resolutions for You!
negative,@united on 768 to Logan - boarding gong show due to lax carry on enforcement. Bins full of coats = no room for bags. U need a better system!
neutral,@united Thank you.
negative,@united Blackmailed me into paying £130 extra or having my return ticket nullified in San Francisco Airport. Terrible service from rep #scam
neutral,@united is there an email address I can reach? Too long for a DM.
negative,@united disappointed that u didnt honor my $100 credit given to me for ur mistakes. Taking my business elsewhere✌️out.
negative,@united ua1673 still waiting! Supposed to depart 9:08
negative,@united it was credit from my last trip that never came in the mail!
negative,@united ok it's now been 7 months waiting to hear from airline. I gave them quite a bit more than the 30 days requested! Terrible service
negative,@united does this process ever end? Still waiting for the reply since 2 months #pathetic #customerservice
negative,@united What's going on with your website? I'm Flight Booking Problems three tickets today and I've been booted off the system umpteen times.
negative,@united how do I get my account number if your website says email is unavailable?
neutral,@united So do I need to book two one ways in order for her to fly as an unaccompanied minor?
negative,"@united I received 1 bag last night, I am still missing the other one."
negative,"@united @simonroesner you'll need to upgrade the seats too, even in economy plus it's like sitting on a concrete bench."
neutral,@united Pls Help Baby Hannah get the life saving surgeries she requires.She needs your help.Pls Donate/RT http://t.co/kQnrrP86A5
neutral,"@united bet you wont honour them, like mine ey"
negative,@united 2nd flight also delayed no pilots! But they boarded is so we can just sit here! #scheduling
neutral,"@united I guess that's too much ask, huh?"
negative,@united but it's hard to stay upset at someone when they at least TRY to show remorse.
negative,"@united By the way, a simple apology goes a long way, even if it's a hollow one. It's obvious that you don't care about me or my well-being,"
negative,@united This isn't a one time thing either! It's a shocking pattern of repeated neglect and disrespect.
negative,@united Fingers crossed &amp; its all intact. Very disappointed with this experience as before this we were actually saying we enjoyed using you
negative,"@united It's an incredibly easy fix, but you would rather stay in your comfort zone, while I get forced out of mine."
negative,@united ours in July. You have ZERO excuses for this. You have an out-of-date system that causes problems like this.
negative,@united Everyone around us is sitting with their friends and family members. They booked their tickets in October and December. We bought
negative,@united Not sure what you are talking about. She is going on nonstop flights. SNA to SFO and then SFO to EWR.
